ts,t_ext,h_ext,t_C_cal,h_C_cal,t_L_cal,h_L_cal
1652152474320000000,7.3,83.2,16.8,11.43,16.8,35.54
1652151868111000000,7.5,78.9,16.9,11.43,16.8,35.54
1652151565282000000,7.5,82.4,16.9,11.43,16.8,35.54
1652150958064000000,7.1,80.7,17.0,11.43,16.9,35.54
1652150655221000000,7.2,81.3,17.0,11.43,16.9,35.95
1652150351852000000,7.3,81.3,17.0,11.43,16.9,35.54
1652150048719000000,7.4,79.8,17.1,11.43,16.9,35.95
1652149745376000000,7.7,78.2,17.1,11.07,16.9,35.95
1652149449925000000,7.9,79.7,17.1,11.43,16.9,35.54
1652149146486000000,7.9,78.9,17.2,11.43,16.9,35.95
1652148835746000000,7.9,78.5,17.2,11.43,16.9,35.54
1652148532723000000,8.0,78.5,17.2,11.43,16.9,35.54
1652148229408000000,7.9,79.3,17.3,11.43,16.9,35.54
1652147925925000000,8.0,78.7,17.3,11.07,16.9,35.54
1652147622545000000,8.0,78.1,17.3,11.43,16.9,35.54
1652147319637000000,8.0,77.0,17.3,11.43,16.9,35.95
1652147016004000000,8.1,78.0,17.4,11.43,16.9,35.95
1652146712533000000,8.2,76.7,17.4,11.43,16.9,35.95
1652146409703000000,8.5,75.0,17.4,11.43,17.0,35.54
1652146106538000000,8.7,74.2,17.5,11.43,17.0,35.54
1652145803118000000,8.8,73.8,17.5,11.43,17.0,35.95
1652145500305000000,8.7,73.7,17.5,11.43,17.0,35.54
1652145197261000000,8.6,75.6,17.6,11.43,17.0,35.95
1652144893671000000,8.6,75.3,17.6,11.43,17.0,35.54
1652144590557000000,8.5,73.8,17.6,11.43,17.0,35.95
1652144287170000000,8.8,70.7,17.7,11.43,17.0,35.95
1652143983701000000,9.2,71.3,17.7,11.43,17.0,35.54
1652143680536000000,9.4,69.8,17.7,11.07,17.0,35.95
1652143376721000000,9.6,70.5,17.8,11.43,17.0,35.95
1652143073114000000,9.7,67.6,17.8,11.43,17.0,35.95
1652142769650000000,9.8,68.0,17.8,11.43,17.0,35.54
1652142466402000000,9.2,70.4,17.9,11.43,17.0,35.95
1652142163559000000,9.1,70.2,17.9,11.43,17.0,35.95
1652141860094000000,9.5,67.9,17.9,11.43,17.0,35.95
1652141556594000000,9.9,66.2,17.9,11.43,17.0,35.95
1652141253179000000,10.1,64.0,18.0,11.07,17.0,35.95
1652140949467000000,10.3,63.1,18.0,11.07,17.0,35.95
1652140646714000000,10.4,61.0,18.0,11.07,17.0,35.95
1652140342724000000,10.2,63.7,18.1,11.43,17.0,35.54
1652140039283000000,10.1,64.2,18.1,11.07,17.0,35.54
1652139736349000000,10.3,61.7,18.1,11.43,17.0,35.95
1652139433085000000,10.4,63.1,18.2,11.07,17.0,35.54
1652139130004000000,10.4,62.9,18.2,11.43,17.0,35.54
1652138826890000000,10.5,61.3,18.2,11.07,17.0,35.95
1652138523983000000,10.8,60.9,18.3,11.43,17.0,35.54
1652138221013000000,11.2,60.3,18.3,11.43,17.0,35.95
1652137918240000000,11.3,56.9,18.3,11.43,17.0,35.95
1652137614817000000,11.5,58.2,18.3,11.43,17.0,35.95
1652137311272000000,12.0,56.5,18.5,11.43,17.0,35.95
1652137008117000000,12.4,54.4,18.5,11.07,17.0,35.95
1652136704659000000,12.9,54.6,18.5,11.43,17.0,35.54
1652136401673000000,13.1,50.8,18.6,11.43,17.0,35.54
1652136097631000000,13.4,49.4,18.6,11.43,17.0,35.95
1652135794485000000,13.6,49.1,18.6,10.71,17.0,35.95
1652135491429000000,14.1,47.3,18.7,11.07,16.9,35.95
1652135188123000000,14.4,45.3,18.7,11.07,16.9,35.95
1652134884866000000,14.3,45.2,18.7,11.07,16.9,35.54
1652134581980000000,14.1,46.0,18.7,11.07,16.9,35.95
1652134278911000000,14.0,46.9,18.8,11.07,16.9,35.95
1652133976139000000,14.0,46.7,18.8,11.07,16.9,35.54
1652133672808000000,14.0,47.9,18.8,11.07,16.9,35.95
1652133369467000000,13.9,48.9,18.9,11.07,16.9,35.95
1652133065752000000,13.7,50.2,18.9,10.71,16.9,35.95
1652132762879000000,13.6,50.8,18.9,11.43,16.9,35.54
1652132459829000000,13.7,51.3,18.9,10.71,16.9,35.54
1652132156282000000,13.7,50.9,19.0,11.43,16.9,35.95
1652131852590000000,13.8,51.0,19.0,10.71,16.9,35.54
1652131556703000000,13.8,50.9,19.0,11.07,16.8,35.95
1652131245183000000,13.8,51.3,19.0,11.07,16.8,35.95
1652130941505000000,13.8,51.4,19.1,11.43,16.8,35.54
1652130638204000000,13.9,51.4,19.1,11.07,16.8,35.54
1652130335180000000,14.2,50.6,19.1,10.71,16.8,35.54
1652130031674000000,14.6,49.6,19.1,11.43,16.8,35.54
1652129728347000000,14.7,47.3,19.2,11.07,16.8,35.54
1652129425506000000,14.7,47.8,19.2,11.07,16.8,35.54
1652129122416000000,14.9,47.5,19.2,11.43,16.7,35.95
1652128818323000000,15.0,46.3,19.2,11.43,16.7,35.54
1652128515598000000,15.0,46.7,19.2,11.43,16.7,35.54
1652128212578000000,14.9,47.0,19.2,10.71,16.7,35.54
1652127908865000000,14.9,48.2,19.3,10.71,16.7,35.95
1652127605571000000,15.3,47.8,19.3,11.43,16.7,35.95
1652127302453000000,15.5,45.5,19.3,10.71,16.6,35.54
1652126998555000000,15.7,47.4,19.3,11.43,16.6,35.54
1652126694971000000,16.0,45.3,19.3,11.43,16.6,35.54
1652126391799000000,16.3,44.3,19.3,11.43,16.6,35.54
1652126088376000000,16.4,44.4,19.3,11.07,16.6,35.95
1652125785080000000,16.9,45.7,19.3,11.07,16.6,35.95
1652125488294000000,17.4,42.9,19.3,11.43,16.5,35.95
1652125177979000000,17.7,41.5,19.3,11.43,16.5,35.54
1652124873909000000,18.2,40.8,19.3,11.07,16.5,35.95
1652124570945000000,18.8,38.8,19.3,11.07,16.5,35.54
1652124267402000000,19.2,37.2,19.3,11.07,16.5,35.54
1652123963984000000,19.6,37.2,19.3,11.43,16.4,35.95
1652123660630000000,20.0,36.4,19.3,10.71,16.4,35.95
1652123356996000000,20.2,36.2,19.3,10.71,16.4,35.54
1652123053726000000,20.6,35.6,19.3,10.71,16.4,35.95
1652122750372000000,21.1,34.3,19.3,11.43,16.4,35.54
1652122447006000000,21.6,32.7,19.3,10.71,16.3,35.95
1652122143841000000,22.4,31.1,19.3,10.71,16.3,35.54
1652121840149000000,23.0,29.0,19.3,10.71,16.3,35.54
